NO.,Time,ms,mV,mV.1
571,16/06/2021 12:15,0,7.07,2.96
572,16/06/2021 12:15,0,7.35,3.08
573,16/06/2021 12:15,0,7.72,3.23
574,16/06/2021 12:15,0,8.19,3.43
575,16/06/2021 12:15,0,13.29,5.51
576,16/06/2021 12:15,0,14.04,5.91
577,16/06/2021 12:16,0,8.02,3.38
578,16/06/2021 12:16,0,7.44,3.13
579,16/06/2021 12:16,0,7.25,3.05
580,16/06/2021 12:16,0,7.03,2.95
581,16/06/2021 12:20,0,7.15,3
582,16/06/2021 12:20,0,17.97,7.49
583,16/06/2021 12:20,0,14.51,6.1
584,16/06/2021 12:21,0,8.75,3.69
585,16/06/2021 12:21,0,17.84,7.41
586,16/06/2021 12:21,0,17.32,7.25
587,16/06/2021 12:21,0,18.42,7.71
588,16/06/2021 12:21,0,17.17,7.21
589,16/06/2021 12:21,0,10.93,4.7
590,16/06/2021 12:22,0,7.16,3.04
591,16/06/2021 12:24,0,7.03,2.95
592,16/06/2021 12:24,0,7.16,3.01
593,16/06/2021 12:24,0,7.37,3.1
594,16/06/2021 12:24,0,7.58,3.19
595,16/06/2021 12:24,0,17,7
596,16/06/2021 12:24,0,18.99,7.95
597,16/06/2021 12:25,0,19.38,8.12
598,16/06/2021 12:25,0,17.85,7.5
599,16/06/2021 12:25,0,18.3,7.68
600,16/06/2021 12:25,0,19.63,8.24
601,16/06/2021 12:25,0,16.96,7.17
602,16/06/2021 12:25,0,12.34,5.24
603,16/06/2021 12:26,0,13.3,5.63
604,16/06/2021 12:26,0,17.11,7.17
605,16/06/2021 12:26,0,19.83,8.32
